BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
3062b	6074890	3062b	Brick, Round 1 x 1 Open Stud	68	484	Dark Orange	Solid Colors	4	0.28
3062b	6220715	3062b	Brick, Round 1 x 1 Open Stud	4	25	Orange	Solid Colors	2	0.28
3062b	4117070	3062b	Brick, Round 1 x 1 Open Stud	2	19	Tan	Solid Colors	160	0.28
3063	4239203	3063	Brick, Round Corner 2 x 2 Macaroni with Stud Notch	2	19	Tan	Solid Colors	11	0.83
3065	6244904	3065	Brick 1 x 2 without Bottom Tube	12	47	Trans-Clear	Transparent Colors	3	0.82
3069a		3069a	Tile 1 x 2 without Groove	6	2	Green	Solid Colors	1	0.27
3069a		3069a	Tile 1 x 2 without Groove	42	73	Medium Blue	Solid Colors	2	0.27
3069a		3069a	Tile 1 x 2 without Groove	7	1	Blue	Solid Colors	4	0.27
3069a		3069a	Tile 1 x 2 without Groove	2	19	Tan	Solid Colors	3	0.27
3070b	4210848	3070b	Tile 1 x 1 with Groove	85	72	Dark Bluish Gray	Solid Colors	5	0.16
3070b	4125253	3070b	Tile 1 x 1 with Groove	2	19	Tan	Solid Colors	6	0.16
3245c	4211564	3245c	Brick 1 x 2 x 2 with Inside Stud Holder	86	71	Light Bluish Gray	Solid Colors	5	1.5
3245c	4210978	3245c	Brick 1 x 2 x 2 with Inside Stud Holder	85	72	Dark Bluish Gray	Solid Colors	1	1.5
3245c	4159279	3245c	Brick 1 x 2 x 2 with Inside Stud Holder	2	19	Tan	Solid Colors	1	1.5
3460	4114324	3460	Plate 1 x 8	2	19	Tan	Solid Colors	5	1.36
3460	4211425	3460	Plate 1 x 8	86	71	Light Bluish Gray	Solid Colors	1	1.36
3460	6156492	3460	Plate 1 x 8	69	28	Dark Tan	Solid Colors	7	1.36
3460	4210998	3460	Plate 1 x 8	85	72	Dark Bluish Gray	Solid Colors	1	1.36
3622	362201	3622	Brick 1 x 3	1	15	White	Solid Colors	6	1.24
3622	4162465	3622	Brick 1 x 3	2	19	Tan	Solid Colors	12	1.24
3622	4211428	3622	Brick 1 x 3	86	71	Light Bluish Gray	Solid Colors	6	1.24
3622	362226	3622	Brick 1 x 3	11	0	Black	Solid Colors	3	1.24
3623	362326	3623	Plate 1 x 3	11	0	Black	Solid Colors	1	0.53
3623	4211152	3623	Plate 1 x 3	88	70	Reddish Brown	Solid Colors	5	0.53
3623	4211133	3623	Plate 1 x 3	85	72	Dark Bluish Gray	Solid Colors	10	0.53
3623	6186007	3623	Plate 1 x 3	68	484	Dark Orange	Solid Colors	1	0.53
3623	6013975	3623	Plate 1 x 3	80	288	Dark Green	Solid Colors	5	0.53
3623	4211429	3623	Plate 1 x 3	86	71	Light Bluish Gray	Solid Colors	5	0.53
3623	4121921	3623	Plate 1 x 3	2	19	Tan	Solid Colors	8	0.53
3659	4550323	3659	Brick, Arch 1 x 4	2	19	Tan	Solid Colors	5	1.25
3659	4596218	3659	Brick, Arch 1 x 4	69	28	Dark Tan	Solid Colors	1	1.25
3660	4118866	3660	Slope, Inverted 45 2 x 2	2	19	Tan	Solid Colors	4	1.25
3665	4211437	3665	Slope, Inverted 45 2 x 1	86	71	Light Bluish Gray	Solid Colors	29	0.66
3665	366526	3665	Slope, Inverted 45 2 x 1	11	0	Black	Solid Colors	4	0.66
3666	366628	3666	Plate 1 x 6	6	2	Green	Solid Colors	1	1.06
3666	4221590	3666	Plate 1 x 6	88	70	Reddish Brown	Solid Colors	4	1.06
3666	4211056	3666	Plate 1 x 6	85	72	Dark Bluish Gray	Solid Colors	1	1.06
3666	4211438	3666	Plate 1 x 6	86	71	Light Bluish Gray	Solid Colors	1	1.06
3666	4124067	3666	Plate 1 x 6	2	19	Tan	Solid Colors	4	1.06
3666	4245566	3666	Plate 1 x 6	80	288	Dark Green	Solid Colors	1	1.06
3673	4211807	3673	Technic, Pin without Friction Ridges Lengthwise	86	71	Light Bluish Gray	Solid Colors	1	0.16
3673		3673	Technic, Pin without Friction Ridges Lengthwise	7	1	Blue	Solid Colors	2	0.16
3678b	4234534	3678b	Slope 65 2 x 2 x 2 with Bottom Tube	85	72	Dark Bluish Gray	Solid Colors	3	2.09
